DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.744,Â© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17828467,-0.0843,-0.0452,9.8389,0.2096,-0.1356,0.0539
17828634,-0.0769,-0.0686,9.8439,0.1940,-0.1265,0.0840
17828801,-0.0760,-0.0670,9.8273,0.2556,-0.1510,0.0685
17828967,-0.0736,-0.0689,9.8410,0.2587,-0.1538,0.0238
17829134,-0.0746,-0.0385,9.8264,0.2553,-0.1025,0.1035
17829301,-0.0800,-0.0618,9.8178,0.2015,-0.0929,0.1058
17829467,-0.0718,-0.0577,9.8452,0.2449,-0.1189,0.1118
17829634,-0.0735,-0.0571,9.8322,0.2685,-0.1088,0.1147
17829801,-0.0832,-0.0713,9.8313,0.2759,-0.0799,0.0561
17829967,-0.0752,-0.0609,9.8455,0.2884,-0.1945,0.0910
17830134,-0.0717,-0.0541,9.8361,0.2652,-0.0965,0.1222
17830301,-0.0750,-0.0559,9.8231,0.2395,-0.0983,0.0503
17830467,-0.0751,-0.0567,9.8286,0.2273,-0.1698,0.0424
17830634,-0.0761,-0.0661,9.8360,0.2723,-0.1515,0.0773
17830801,-0.0733,-0.0588,9.8232,0.2571,-0.1407,0.1270
17830967,-0.0924,-0.0625,9.8235,0.2207,-0.0717,0.1165
17831134,-0.0809,-0.0793,9.8318,0.2317,-0.1180,0.0788
17831301,-0.0838,-0.0706,9.8331,0.1601,-0.1085,0.1192
17831467,-0.0802,-0.0751,9.8372,0.2229,-0.1040,0.1078
17831634,-0.0713,-0.0544,9.8289,0.2771,-0.1492,0.0808
17831801,-0.0742,-0.0551,9.8295,0.2208,-0.1742,0.0559
17831967,-0.0740,-0.0667,9.8214,0.2481,-0.1109,0.1102
17832134,-0.0708,-0.0650,9.8320,0.2586,-0.1538,0.1079
17832301,-0.0815,-0.0554,9.8260,0.2277,-0.0813,0.1078
17832467,-0.0755,-0.0564,9.8304,0.2409,-0.1697,0.0869
17832634,-0.0814,-0.0640,9.8369,0.2503,-0.2094,0.0699
17832801,-0.0732,-0.0788,9.8289,0.2375,-0.0776,0.1236
17832967,-0.0813,-0.0694,9.8340,0.2405,-0.1087,0.0237
17833134,-0.0716,-0.0585,9.8267,0.2258,-0.1565,0.0667
17833301,-0.0734,-0.0625,9.8273,0.2462,-0.1524,0.0414
17833467,-0.0770,-0.0606,9.8266,0.2325,-0.0893,0.0019
17833634,-0.0777,-0.0556,9.8311,0.2370,-0.1667,0.0279
17833801,-0.0843,-0.0516,9.8288,0.2309,-0.1379,0.0565
17833967,-0.0777,-0.0610,9.8100,0.2738,-0.0966,0.1485
17834134,-0.0847,-0.0563,9.8230,0.1522,-0.0814,0.1174
17834301,-0.0787,-0.0592,9.8341,0.2126,-0.1530,0.0882
17834467,-0.0855,-0.0632,9.8266,0.2417,-0.1573,0.0929
17834634,-0.0751,-0.0503,9.8327,0.2704,-0.1688,0.0686
17834801,-0.0691,-0.0527,9.8144,0.2432,-0.1373,0.0747
17834967,-0.0750,-0.0593,9.8257,0.2026,-0.1564,0.0914
17835134,-0.0727,-0.0684,9.8256,0.1652,-0.1508,0.0402
17835301,-0.0785,-0.0515,9.8423,0.2698,-0.1122,0.0924
17835467,-0.0695,-0.0610,9.8370,0.3353,-0.1005,0.0768
17835634,-0.0752,-0.0578,9.8473,0.2135,-0.1628,0.1187
17835801,-0.0845,-0.0523,9.8262,0.2696,-0.1492,0.0849
17835968,-0.0856,-0.0606,9.8178,0.1629,-0.1300,0.1214
17836134,-0.0684,-0.0673,9.8255,0.2795,-0.1493,0.0729
17836301,-0.0811,-0.0659,9.8288,0.2965,-0.1211,0.0921
17836468,-0.0655,-0.0528,9.8323,0.2499,-0.1049,0.0459
17836634,-0.0944,-0.0645,9.8232,0.2384,-0.1230,0.0910
17836801,-0.0739,-0.0616,9.8232,0.2767,-0.1747,0.1231
17836968,-0.0652,-0.0742,9.8385,0.1802,-0.1537,0.0088
17837134,-0.0849,-0.0676,9.8332,0.2026,-0.1132,0.1037
17837301,-0.0823,-0.0611,9.8283,0.2391,-0.1284,0.1388
17837468,-0.0819,-0.0601,9.8365,0.2447,-0.0951,0.0998
17837634,-0.0780,-0.0580,9.8368,0.2778,-0.1238,0.0555
17837801,-0.0771,-0.0593,9.8275,0.2649,-0.0905,0.0483
17837968,-0.0808,-0.0619,9.8167,0.2156,-0.1477,0.1189
17838134,-0.0760,-0.0541,9.8271,0.2358,-0.1886,0.1050
17838301,-0.0754,-0.0557,9.8296,0.3159,-0.1313,0.1304
17838468,-0.0798,-0.0732,9.8337,0.1979,-0.1820,0.0498
17838634,-0.0920,-0.0589,9.8391,0.2333,-0.1131,0.0622
17838801,-0.0822,-0.0642,9.8317,0.3322,-0.1272,0.0853
17838968,-0.0750,-0.0492,9.8284,0.2415,-0.1299,0.0763
17839134,-0.0936,-0.0630,9.8341,0.2992,-0.1677,0.1276
17839301,-0.0765,-0.0723,9.8317,0.2372,-0.1779,0.1457
17839468,-0.0700,-0.0509,9.8321,0.2927,-0.1210,0.0558
17839634,-0.0910,-0.0551,9.8278,0.2863,-0.0802,0.0623
17839801,-0.0743,-0.0543,9.8254,0.2822,-0.1463,0.1024
17839968,-0.0709,-0.0765,9.8273,0.2972,-0.0768,0.1261
17840134,-0.0695,-0.0525,9.8275,0.3072,-0.1354,0.0809
17840301,-0.0926,-0.0652,9.8340,0.2247,-0.1493,0.0760
17840468,-0.0795,-0.0608,9.8339,0.2437,-0.1132,0.0762
17840634,-0.0726,-0.0675,9.8267,0.2024,-0.1697,0.0153
17840801,-0.0777,-0.0580,9.8306,0.2748,-0.1109,0.0783
17840968,-0.0606,-0.0522,9.8338,0.1960,-0.1696,0.0762
17841134,-0.0750,-0.0659,9.8302,0.2591,-0.1153,0.1214
17841301,-0.0843,-0.0481,9.8038,0.2930,-0.0903,0.0764
17841468,-0.0821,-0.0623,9.8449,0.2564,-0.1634,0.0896
17841634,-0.0795,-0.0730,9.8218,0.2251,-0.1627,0.0995
17841801,-0.0916,-0.0612,9.8278,0.1847,-0.1175,0.1440
17841968,-0.0784,-0.0585,9.8427,0.1961,-0.2097,0.0919
17842134,-0.0845,-0.0696,9.8192,0.2232,-0.1830,0.1641
17842301,-0.0649,-0.0665,9.8243,0.2297,-0.1288,0.0434
17842468,-0.0728,-0.0568,9.8400,0.2162,-0.1300,0.1047
17842634,-0.0852,-0.0734,9.8292,0.2541,-0.1530,0.1078
17842801,-0.0765,-0.0581,9.8300,0.2364,-0.1308,0.0712
17842968,-0.0829,-0.0600,9.8359,0.1778,-0.1400,0.0622
17843134,-0.0788,-0.0546,9.8297,0.2607,-0.1765,0.0497
17843301,-0.0879,-0.0627,9.8255,0.2679,-0.0714,0.0694
17843468,-0.0853,-0.0666,9.8324,0.2392,-0.0916,0.0701
17843634,-0.0823,-0.0679,9.8369,0.2467,-0.1123,0.0475
17843801,-0.0898,-0.0607,9.8275,0.2447,-0.0791,0.0920
17843968,-0.0817,-0.0574,9.8308,0.1455,-0.1454,0.1176
17844134,-0.0879,-0.0538,9.8365,0.2606,-0.1297,0.0184
17844301,-0.0795,-0.0628,9.8243,0.2907,-0.1100,0.0903
17844468,-0.0795,-0.0668,9.8312,0.2754,-0.1243,0.0905
17844634,-0.0719,-0.0419,9.8294,0.2790,-0.0811,0.1160
17844801,-0.0780,-0.0607,9.8332,0.2177,-0.1455,0.0773
17844968,-0.0888,-0.0370,9.8355,0.3614,-0.0415,0.1302
17845134,-0.0673,-0.0535,9.8292,0.2942,-0.1090,0.0358
17845301,-0.0729,-0.0581,9.8312,0.2051,-0.0857,0.0167
17845468,-0.0827,-0.0575,9.8305,0.2309,-0.1685,0.1042
17845634,-0.0809,-0.0607,9.8264,0.2839,-0.1514,0.1158
17845801,-0.0713,-0.0562,9.8318,0.2342,-0.1617,0.0660
17845968,-0.0751,-0.0495,9.8205,0.2826,-0.1850,0.0841
17846134,-0.0776,-0.0709,9.8279,0.1961,-0.0511,0.0453
17846301,-0.0763,-0.0477,9.8446,0.2432,-0.1117,0.1008
17846468,-0.0880,-0.0674,9.8273,0.1894,-0.1218,0.0601
17846634,-0.0767,-0.0586,9.8374,0.1578,-0.0999,0.1205
17846801,-0.0824,-0.0537,9.8445,0.2622,-0.1250,0.0712
17846968,-0.0782,-0.0569,9.8376,0.2644,-0.1411,0.1137
17847134,-0.0795,-0.0457,9.8201,0.2102,-0.0672,0.0536
17847301,-0.0773,-0.0507,9.8321,0.1769,-0.1144,0.1446
17847468,-0.0871,-0.0689,9.8370,0.1954,-0.1633,0.0430
17847634,-0.0669,-0.0617,9.8241,0.2167,-0.0892,0.0406
17847801,-0.0828,-0.0640,9.8318,0.2850,-0.0758,0.0668
17847968,-0.0731,-0.0686,9.8242,0.2652,-0.1658,0.0603
17848134,-0.0807,-0.0571,9.8224,0.2485,-0.1496,0.0030
17848301,-0.0743,-0.0656,9.8277,0.1923,-0.1333,0.0595
17848468,-0.0750,-0.0614,9.8328,0.1976,-0.1326,0.1090
17848634,-0.0708,-0.0644,9.8193,0.2654,-0.1425,0.0830
17848801,-0.0777,-0.0626,9.8340,0.2352,-0.2192,0.0892
17848968,-0.0718,-0.0577,9.8323,0.1123,-0.1431,0.0853
17849134,-0.0777,-0.0694,9.8286,0.3144,-0.1425,0.0597
17849301,-0.0914,-0.0486,9.8330,0.2350,-0.1375,0.0433
17849468,-0.0869,-0.0672,9.8250,0.2074,-0.1287,0.0671
17849634,-0.0706,-0.0493,9.8383,0.2018,-0.1608,0.0671
17849801,-0.0850,-0.0581,9.8311,0.2682,-0.0928,0.0559
17849968,-0.0758,-0.0528,9.8349,0.2862,-0.1652,0.0921
17850134,-0.0875,-0.0580,9.8238,0.2613,-0.1495,0.0491
17850301,-0.0717,-0.0720,9.8318,0.2028,-0.1538,0.0537
17850468,-0.0901,-0.0571,9.8209,0.2728,-0.1583,0.0380
17850634,-0.0695,-0.0679,9.8364,0.2414,-0.0817,0.1102
17850801,-0.0784,-0.0492,9.8310,0.2542,-0.1510,0.0445
17850968,-0.0807,-0.0626,9.8253,0.2268,-0.0848,0.1447
17851134,-0.0833,-0.0585,9.8266,0.2251,-0.1058,0.0217
17851301,-0.0792,-0.0657,9.8096,0.2350,-0.1781,0.0711
17851468,-0.0681,-0.0678,9.8324,0.2603,-0.1469,0.1290
17851634,-0.0849,-0.0536,9.8286,0.2263,-0.1342,0.0459
17851801,-0.0712,-0.0618,9.8260,0.2771,-0.1338,0.0780
17851968,-0.0810,-0.0645,9.8316,0.1670,-0.1094,0.0573
17852134,-0.0826,-0.0537,9.8377,0.2219,-0.1764,0.1221
17852301,-0.0768,-0.0640,9.8473,0.2020,-0.1234,0.0479
17852468,-0.0692,-0.0521,9.8229,0.1072,-0.1684,0.0456
17852635,-0.0852,-0.0499,9.8310,0.2212,-0.1018,0.0685
17852801,-0.0745,-0.0556,9.8267,0.2303,-0.1904,0.0621
17852968,-0.0835,-0.0500,9.8424,0.2304,-0.1313,0.0576
17853135,-0.0724,-0.0782,9.8287,0.1539,-0.0966,0.1131
17853301,-0.0739,-0.0579,9.8219,0.1870,-0.1500,0.0476
17853468,-0.0720,-0.0594,9.8356,0.2997,-0.1875,0.1531
17853635,-0.0740,-0.0727,9.8277,0.2353,-0.1583,0.1040
17853801,-0.0722,-0.0575,9.8345,0.2858,-0.1488,0.1057
17853968,-0.0694,-0.0631,9.8304,0.2334,-0.1153,0.0866
17854135,-0.0779,-0.0605,9.8379,0.2776,-0.1190,0.1322
17854301,-0.0821,-0.0522,9.8414,0.2342,-0.1911,0.0461
17854468,-0.0831,-0.0782,9.8454,0.2028,-0.1640,0.0616
17854635,-0.0801,-0.0533,9.8245,0.2220,-0.0973,0.0807
17854801,-0.0719,-0.0576,9.8325,0.2173,-0.1379,0.1686
17854968,-0.0739,-0.0685,9.8336,0.2264,-0.1448,0.0500
17855135,-0.0752,-0.0668,9.8119,0.2941,-0.1561,0.0831
17855301,-0.0698,-0.0416,9.8268,0.1834,-0.0530,0.1288
17855468,-0.0860,-0.0531,9.8300,0.2250,-0.1266,0.0834
17855635,-0.0760,-0.0639,9.8473,0.2455,-0.1009,0.0523
17855801,-0.0624,-0.0528,9.8429,0.2409,-0.0612,0.0513
17855968,-0.0926,-0.0547,9.8348,0.2229,-0.1814,0.0590
17856135,-0.0901,-0.0582,9.8362,0.2004,-0.2726,0.0827
17856301,-0.0863,-0.0677,9.8156,0.2378,-0.1132,0.0906
17856468,-0.0740,-0.0688,9.8395,0.1914,-0.1334,0.0448
17856635,-0.0843,-0.0664,9.8218,0.2245,-0.0985,0.0685
17856801,-0.0725,-0.0574,9.8240,0.2232,-0.1909,0.1239
17856968,-0.0774,-0.0582,9.8311,0.2569,-0.1187,0.0904
17857135,-0.0817,-0.0685,9.8334,0.2754,-0.1424,0.1167
17857301,-0.0906,-0.0541,9.8198,0.1971,-0.0911,0.0988
17857468,-0.0784,-0.0604,9.8321,0.1956,-0.1357,0.1263
17857635,-0.0691,-0.0603,9.8262,0.1827,-0.0951,0.0649
17857801,-0.0787,-0.0636,9.8350,0.1904,-0.1579,0.0650
17857968,-0.0753,-0.0633,9.8339,0.2435,-0.1361,0.1325
17858135,-0.0835,-0.0683,9.8307,0.1874,-0.0907,0.1060
17858301,-0.0677,-0.0624,9.8316,0.2191,-0.0840,0.0707
17858468,-0.0788,-0.0571,9.8360,0.2679,-0.0706,0.0808
17858635,-0.0663,-0.0605,9.8283,0.2659,-0.1174,0.1233
17858801,-0.0815,-0.0655,9.8424,0.2618,-0.0947,0.0249
17858968,-0.0867,-0.0576,9.8231,0.2594,-0.1221,0.0473
17859135,-0.0799,-0.0708,9.8342,0.2224,-0.0723,0.0014
17859301,-0.0866,-0.0688,9.8313,0.2570,-0.1064,0.0511
17859468,-0.0858,-0.0643,9.8317,0.2659,-0.1155,0.1012
17859635,-0.0775,-0.0426,9.8321,0.2815,-0.1086,0.1168
17859801,-0.0804,-0.0665,9.8249,0.1959,-0.1403,0.0627
17859968,-0.0768,-0.0644,9.8265,0.2550,-0.1046,0.0943
17860135,-0.0742,-0.0432,9.8225,0.1908,-0.1348,0.0805
17860301,-0.0755,-0.0678,9.8431,0.2024,-0.0683,0.0842
17860468,-0.0844,-0.0693,9.8402,0.2482,-0.1904,0.1372
17860635,-0.0686,-0.0650,9.8271,0.2006,-0.1628,0.0907
17860801,-0.0775,-0.0598,9.8295,0.2315,-0.1409,0.0738
17860968,-0.0808,-0.0539,9.8348,0.2586,-0.1279,0.0630
17861135,-0.0766,-0.0547,9.8254,0.1605,-0.0929,0.0800
17861301,-0.0576,-0.0723,9.8318,0.2645,-0.1705,0.1096
17861468,-0.0736,-0.0653,9.8377,0.1910,-0.1141,0.0251
17861635,-0.0735,-0.0343,9.8453,0.2530,-0.0472,0.0914
17861801,-0.0895,-0.0758,9.8198,0.2082,-0.1114,0.1209
17861968,-0.0801,-0.0672,9.8230,0.1909,-0.1554,0.0650
17862135,-0.0800,-0.0555,9.8387,0.2459,-0.1643,0.0340
17862301,-0.0781,-0.0536,9.8337,0.2334,-0.1114,0.0676
17862468,-0.0736,-0.0642,9.8456,0.2417,-0.1597,0.0664
17862635,-0.0744,-0.0595,9.8431,0.1846,-0.1146,0.0530
17862801,-0.0666,-0.0672,9.8306,0.2694,-0.1058,0.0897
17862968,-0.0724,-0.0613,9.8315,0.1885,-0.1268,0.1047
17863135,-0.0780,-0.0606,9.8107,0.2744,-0.1764,0.0542
17863301,-0.0847,-0.0665,9.8377,0.2515,-0.1682,0.1356
17863468,-0.0781,-0.0629,9.8235,0.1844,0.0249,0.0475
17863635,-0.0772,-0.0562,9.8201,0.2404,-0.1046,0.1088
17863801,-0.0745,-0.0648,9.8218,0.2263,-0.0901,0.0041
17863968,-0.0795,-0.0583,9.8408,0.2658,-0.1391,0.0866
17864135,-0.0854,-0.0466,9.8257,0.2568,-0.0772,0.1303
17864301,-0.0822,-0.0583,9.8414,0.2185,-0.0962,0.0434
17864468,-0.0844,-0.0479,9.8148,0.2654,-0.1357,0.1127
17864635,-0.0838,-0.0711,9.8333,0.1564,-0.1608,0.0813
17864801,-0.0755,-0.0595,9.8107,0.2648,-0.0996,0.0912
17864968,-0.0816,-0.0719,9.8431,0.2523,-0.1276,0.1033
17865135,-0.0813,-0.0669,9.8367,0.2505,-0.1082,0.0883
17865301,-0.0656,-0.0587,9.8439,0.3074,-0.1478,0.1462
17865468,-0.0771,-0.0627,9.8365,0.2364,-0.1535,0.0830
17865635,-0.0864,-0.0549,9.8371,0.2268,-0.1335,0.0649
17865801,-0.0691,-0.0626,9.8346,0.2220,-0.0839,0.0484
17865968,-0.0681,-0.0686,9.8300,0.2020,-0.1491,0.1580
17866135,-0.0793,-0.0616,9.8425,0.2381,-0.0290,0.1219
17866301,-0.0812,-0.0599,9.8413,0.2626,-0.1503,0.0693
17866468,-0.0776,-0.0471,9.8347,0.2134,-0.1363,0.0830
17866635,-0.0773,-0.0676,9.8333,0.2019,-0.1257,0.0601
17866801,-0.0803,-0.0682,9.8412,0.2539,-0.1196,0.0859
17866968,-0.0805,-0.0630,9.8168,0.1765,-0.1876,0.0413
17867135,-0.0770,-0.0623,9.8169,0.2098,-0.1029,0.0667
17867301,-0.0726,-0.0561,9.8286,0.2375,-0.0523,0.1176
17867468,-0.0796,-0.0685,9.8246,0.2580,-0.1199,0.0665
17867635,-0.0781,-0.0412,9.8370,0.2596,-0.0438,0.1079
17867801,-0.0786,-0.0614,9.8331,0.2611,-0.0903,0.1268
17867968,-0.0826,-0.0657,9.8416,0.2305,-0.0763,0.0357
17868135,-0.0836,-0.0503,9.8304,0.2633,-0.1340,0.1136
17868301,-0.0839,-0.0614,9.8540,0.2176,-0.1202,0.0608
17868468,-0.0762,-0.0545,9.8324,0.2301,-0.1806,0.0761
17868635,-0.0831,-0.0624,9.8373,0.2296,-0.1900,0.0447
17868801,-0.0750,-0.0612,9.8415,0.2590,-0.1064,0.0379
17868968,-0.0796,-0.0592,9.8328,0.2002,-0.0839,0.1099
17869135,-0.0832,-0.0767,9.8239,0.1936,-0.1716,0.0313
17869302,-0.0759,-0.0660,9.8257,0.3022,-0.1043,0.0677
17869468,-0.0894,-0.0501,9.8353,0.2299,-0.1628,0.0985
17869635,-0.0825,-0.0695,9.8297,0.3328,-0.0946,0.0401
17869802,-0.0839,-0.0612,9.8182,0.3249,-0.1473,0.0960
17869968,-0.0788,-0.0644,9.8367,0.1905,-0.0932,0.0967
17870135,-0.0835,-0.0664,9.8376,0.2275,-0.1377,0.0814
17870302,-0.0873,-0.0432,9.8253,0.2668,-0.0571,0.0168
17870468,-0.0762,-0.0618,9.8358,0.2808,-0.0906,0.0906
17870635,-0.0856,-0.0484,9.8331,0.2494,-0.0906,0.0650
17870802,-0.0855,-0.0636,9.8304,0.2813,-0.1250,-0.0206
17870968,-0.0853,-0.0636,9.8396,0.3140,-0.1170,0.0487
17871135,-0.0993,-0.0738,9.8260,0.2033,-0.1216,0.0583
17871302,-0.0825,-0.0553,9.8284,0.1969,-0.1508,0.0656
17871468,-0.0808,-0.0572,9.8186,0.1903,-0.1114,0.1377
17871635,-0.0707,-0.0467,9.8312,0.2498,-0.1508,0.0663
17871802,-0.0789,-0.0688,9.8306,0.2020,-0.1341,0.0590
17871968,-0.0857,-0.0592,9.8294,0.2056,-0.0606,0.0236
17872135,-0.0800,-0.0586,9.8378,0.2449,-0.1690,0.0521
17872302,-0.0887,-0.0648,9.8167,0.1911,-0.1465,0.0360
17872468,-0.0791,-0.0640,9.8261,0.1683,-0.0963,0.1141
17872635,-0.0646,-0.0638,9.8357,0.1440,-0.2119,0.0293
17872802,-0.0708,-0.0633,9.8160,0.1791,-0.1706,0.0802
17872968,-0.0701,-0.0585,9.8151,0.2548,-0.1434,0.0931
17873135,-0.0721,-0.0548,9.8197,0.1719,-0.1514,0.0245
17873302,-0.0752,-0.0607,9.8318,0.3314,-0.1866,0.0773
17873468,-0.0640,-0.0694,9.8394,0.2669,-0.0884,0.0097
17873635,-0.0835,-0.0623,9.8227,0.2376,-0.1401,0.1054
17873802,-0.0730,-0.0568,9.8298,0.2671,-0.0455,0.0382
17873968,-0.0700,-0.0628,9.8311,0.2750,-0.1360,0.0853
17874135,-0.0883,-0.0608,9.8344,0.2399,-0.1634,0.0837
17874302,-0.0688,-0.0641,9.8349,0.3074,-0.0823,0.0602
17874468,-0.0798,-0.0572,9.8304,0.2243,-0.1231,0.0298
17874635,-0.0706,-0.0744,9.8339,0.3028,-0.1109,0.1010
17874802,-0.0717,-0.0458,9.8313,0.2650,-0.1042,0.0545
17874968,-0.0821,-0.0669,9.8247,0.2350,-0.0529,0.0754
17875135,-0.0686,-0.0617,9.8340,0.2349,-0.0687,0.1063
17875302,-0.0690,-0.0526,9.8310,0.2274,-0.0735,0.1063
17875468,-0.0727,-0.0499,9.8282,0.1830,-0.0761,0.0448
17875635,-0.0720,-0.0630,9.8282,0.1940,-0.0701,0.1149
17875802,-0.0860,-0.0484,9.8144,0.2912,-0.1599,0.1344
17875968,-0.0718,-0.0453,9.8353,0.2296,-0.1500,0.0902
17876135,-0.0854,-0.0630,9.8302,0.2020,-0.1486,0.0126
17876302,-0.0837,-0.0782,9.8317,0.2561,-0.2008,0.0883
17876468,-0.0767,-0.0539,9.8413,0.1687,-0.1740,0.1351
17876635,-0.0804,-0.0680,9.8401,0.2169,-0.1760,0.0461
17876802,-0.0733,-0.0639,9.8413,0.2546,-0.1321,0.1240
17876968,-0.0877,-0.0679,9.8234,0.2255,-0.1461,0.1096
17877135,-0.0858,-0.0592,9.8339,0.2217,-0.1341,0.0346
17877302,-0.0725,-0.0527,9.8361,0.2129,-0.1159,0.1312
17877468,-0.0817,-0.0712,9.8274,0.2373,-0.1058,0.0943
17877635,-0.0782,-0.0613,9.8117,0.3010,-0.0681,0.0578
17877802,-0.0784,-0.0689,9.8345,0.2208,-0.0906,0.0943
17877968,-0.0821,-0.0664,9.8415,0.2523,-0.1447,0.0131
17878135,-0.0821,-0.0727,9.8284,0.2433,-0.1403,0.1258
17878302,-0.0701,-0.0686,9.8539,0.2638,-0.1335,0.0740
17878468,-0.0895,-0.0465,9.8282,0.2003,-0.1383,0.0469
17878635,-0.0861,-0.0683,9.8285,0.2269,-0.0763,0.1191
17878802,-0.0870,-0.0737,9.8362,0.2053,-0.1132,0.1060
17878968,-0.0844,-0.0530,9.8233,0.2305,-0.1174,0.0935
17879135,-0.0861,-0.0586,9.8307,0.2201,-0.0857,0.0943
17879302,-0.0760,-0.0545,9.8350,0.2095,-0.0804,0.0749
17879468,-0.0773,-0.0643,9.8307,0.2848,-0.1509,0.0205
17879635,-0.0806,-0.0622,9.8407,0.0664,-0.1108,0.1402
17879802,-0.0859,-0.0511,9.8413,0.2047,-0.1331,0.0794
